XtID,tID,Gene_Symbol
X4002809,4002809,APOO
X3983105,3983105,APOOL
X3927226,3927226,APP
X3765299,3765299,APPBP2
X2625606,2625606,APPL1
X2677922,2677922,APPL1
X3469319,3469319,APPL2
X3704495,3704495,APRT
X3203311,3203311,APTX
X2995589,2995589,AQP1
X3341362,3341362,AQP11
X3203569,3203569,AQP3
X3802396,3802396,AQP4
X3414315,3414315,AQP5
X3414326,3414326,AQP6
X3203524,3203524,AQP7
X3653677,3653677,AQP8
X3595594,3595594,AQP9
X2824902,2824902,AQPEP
X3617757,3617757,AQR
X3979912,3979912,AR
X3976299,3976299,ARAF
X3381241,3381241,ARAP1
X2765590,2765590,ARAP2
X2878809,2878809,ARAP3
X3157029,3157029,ARC
X3351531,3351531,ARCN1
X4026902,4026902,ARD1A
X2383726,2383726,ARF1
X3453370,3453370,ARF3
X2678090,2678090,ARF4
X3022409,3022409,ARF5
X3535000,3535000,ARF6
X3893287,3893287,ARFGAP1
X3371928,3371928,ARFGAP2
X3962587,3962587,ARFGAP3
X3139035,3139035,ARFGEF1
X3888055,3888055,ARFGEF2
X2747893,2747893,ARFIP1
X3360941,3360941,ARFIP2
X3914072,3914072,ARFRP1
X3541383,3541383,ARG2
X3569374,3569374,ARG2
X3524618,3524618,ARGLU1
X3371673,3371673,ARHGAP1
X2746693,2746693,ARHGAP10
X3587457,3587457,ARHGAP11A
X3283920,3283920,ARHGAP12
X2508611,2508611,ARHGAP15
X3685610,3685610,ARHGAP17
X2973694,2973694,ARHGAP18
X3302181,3302181,ARHGAP19
X3302183,3302183,ARHGAP19
X3302187,3302187,ARHGAP19
X3390641,3390641,ARHGAP20
X3281621,3281621,ARHGAP21
X3288337,3288337,ARHGAP22
X3719773,3719773,ARHGAP23
X3719787,3719787,ARHGAP23
X2734421,2734421,ARHGAP24
X2486927,2486927,ARHGAP25
X2833286,2833286,ARHGAP26
X3759778,3759778,ARHGAP27
X3777263,3777263,ARHGAP28
X2423826,2423826,ARHGAP29
X2423829,2423829,ARHGAP29
X2440549,2440549,ARHGAP30
X2637877,2637877,ARHGAP31
X3397873,3397873,ARHGAP32
X3397875,3397875,ARHGAP32
X3397877,3397877,ARHGAP32
X3830864,3830864,ARHGAP33
