"","scorecutoff","tissue","which.one","gene","ensgene","module","p.val.mods"
"ENSG00000157045","1","cogdnotxad","rosmap","ENSG00000157045","ENSG00000157045","plum2","0.003351"
"ENSG00000065057","1","cogdnotxad","rosmap","ENSG00000065057","ENSG00000065057","lightgreen","0.8457"
"NTN2L","1","cogdnotxad","rosmap","NTN2L","NTN2L","void","1"
"ENSG00000103274","1","cogdnotxad","rosmap","ENSG00000103274","ENSG00000103274","steelblue","0.05112"
"ENSG00000095906","1","cogdnotxad","rosmap","ENSG00000095906","ENSG00000095906","lightgreen","0.8457"
"ENSG00000168101","1","cogdnotxad","rosmap","ENSG00000168101","ENSG00000168101","brown","1"
"ENSG00000167005","1","cogdnotxad","rosmap","ENSG00000167005","ENSG00000167005","plum1","2.509e-14"
"ENSG00000140876","1","cogdnotxad","rosmap","ENSG00000140876","ENSG00000140876","steelblue","0.05112"
"ENSG00000102900","1","cogdnotxad","rosmap","ENSG00000102900","ENSG00000102900","blue","0.9971"
"ENSG00000176046","1","cogdnotxad","rosmap","ENSG00000176046","ENSG00000176046","sienna3","0.005939"
"ENSG00000102898","1","cogdnotxad","rosmap","ENSG00000102898","ENSG00000102898","navajowhite2","0.9996"
"ENSG00000087263","1","cogdnotxad","rosmap","ENSG00000087263","ENSG00000087263","magenta","1.356e-05"
"ENSG00000168124","1","cogdnotxad","rosmap","ENSG00000168124","ENSG00000168124","void","1"
"ENSG00000168158","1","cogdnotxad","rosmap","ENSG00000168158","ENSG00000168158","void","1"
"ENSG00000175938","1","cogdnotxad","rosmap","ENSG00000175938","ENSG00000175938","lightcyan","0.8078"
"ORC6L","1","cogdnotxad","rosmap","ORC6L","ORC6L","void","1"
"ENSG00000140961","1","cogdnotxad","rosmap","ENSG00000140961","ENSG00000140961","sienna3","0.005939"
"ENSG00000155719","1","cogdnotxad","rosmap","ENSG00000155719","ENSG00000155719","brown4","0.5351"
"ENSG00000083093","1","cogdnotxad","rosmap","ENSG00000083093","ENSG00000083093","darkred","1"
"ENSG00000121274","1","cogdnotxad","rosmap","ENSG00000121274","ENSG00000121274","brown","1"
"ENSG00000162073","1","cogdnotxad","rosmap","ENSG00000162073","ENSG00000162073","purple","0.09035"
"ENSG00000102981","1","cogdnotxad","rosmap","ENSG00000102981","ENSG00000102981","brown4","0.5351"
"ENSG00000140694","1","cogdnotxad","rosmap","ENSG00000140694","ENSG00000140694","turquoise","1"
"ENSG00000258429","1","cogdnotxad","rosmap","ENSG00000258429","ENSG00000258429","darkturquoise","0.3335"
"ENSG00000185615","1","cogdnotxad","rosmap","ENSG00000185615","ENSG00000185615","paleturquoise","1"
"ENSG00000169340","1","cogdnotxad","rosmap","ENSG00000169340","ENSG00000169340","void","1"
"ENSG00000172840","1","cogdnotxad","rosmap","ENSG00000172840","ENSG00000172840","yellow","0.9861"
"ENSG00000140992","1","cogdnotxad","rosmap","ENSG00000140992","ENSG00000140992","yellowgreen","0.6676"
"ENSG00000090857","1","cogdnotxad","rosmap","ENSG00000090857","ENSG00000090857","ivory","5.414e-07"
"ENSG00000179889","1","cogdnotxad","rosmap","ENSG00000179889","ENSG00000179889","yellow","0.9861"
"ENSG00000102893","1","cogdnotxad","rosmap","ENSG00000102893","ENSG00000102893","skyblue","3.291e-06"
"ENSG00000156873","1","cogdnotxad","rosmap","ENSG00000156873","ENSG00000156873","steelblue","0.05112"
"PHLPPL","1","cogdnotxad","rosmap","PHLPPL","PHLPPL","void","1"
"ENSG00000007541","1","cogdnotxad","rosmap","ENSG00000007541","ENSG00000007541","orange","0.9852"
