Cortex_Pyramidal_Neuroexpresso,Cortex_Astrocyte_Neuroexpresso,Cortex_Endothelial_Neuroexpresso,Cortex_GabaPV_Neuroexpresso,Cortex_GabaRelnCalb_Neuroexpresso,Cortex_GabaVIPReln_Neuroexpresso,Cortex_Microglia_Neuroexpresso,Cortex_MicrogliaActivation_Neuroexpresso,Cortex_MicrogliaDeactivation_Neuroexpresso,Cortex_Oligo_Neuroexpresso,Cortex_OligoPrecursors_Neuroexpresso
,TEX11,CDH5,,,,MSN,,TIFA,,SLC2A12
,PAPSS2,STOM,,,,TGFB1,,TNFRSF13B,,PCDHGC3
,LGI4,EMCN,,,,TMEM273,,PRKCD,,FIGNL1
,RFX2,TM4SF1,,,,IFNGR1,,CD79B,,SNX22
,AQP4,TMEM123,,,,CRYBA1,,LSP1,,BOLL
,SLC1A2,TMEM252,,,,HAVCR2,,ATF3,,EVI5L
,CBS,TNS1,,,,CRYBB1,,ELK3,,MTSS1L
,SLC1A3,TNS2,,,,M1AP,,TRAF3IP3,,HELLS
,S1PR1,TPM4,,,,ANKRD44,,LTF,,HR
,SLC1A4,TRIM6-TRIM34,,,,FRMD4A,,LRBA,,SLC35B2
,AQP9,UACA,,,,MLXIPL,,TNFRSF1B,,SLC5A11
,CLDN10,UNC45B,,,,MIR142,,EDEM1,,SLC6A19
,LFNG,UTRN,,,,RNASE4,,CD180,,SLC7A2
,DENND4C,VAMP5,,,,ARRB2,,TNNI2,,SLITRK6
,PRDX6,VCL,,,,SLC11A1,,VAMP8,,SMOC1
,EGFL6,VTN,,,,PLXDC2,,LYL1,,SNX22
,RMST,VWF,,,,EBI3,,TRIM47,,SPSB4
,IGDCC4,WWTR1,,,,SOGA1,,CTSD,,SREBF1
,HAPLN1,XDH,,,,FEZ2,,LYZ,,Stamos
,LRRC9,ZBTB46,,,,PTGR1,,CLCF1,,STK32A
,GSTM1,ZIC3,,,,CD80,,CMTM7,,TDRD7
,UGT1A3,,,,,VWA5A,,ENO3,,TICAM1
,PPP1R3C,,,,,GUSB,,TEC,,TMC6
,LPIN3,,,,,CD37,,HECA,,TMCO4
,GSTM5,,,,,IL21R,,TMEM140,,TMEM132E
,SLC6A11,,,,,TLR1,,CX3CR1,,CATSPERD
,SFXN5,,,,,ENTPD1,,SNX5,,TNFRSF11B
,SLC39A12,,,,,PHF11,,CYTIP,,TNR
,CROT,,,,,RNASET2,,DOK1,,TRAF1
,OTX1,,,,,DAPP1,,HLA-DQA1,,TRAF4
,NPHP3,,,,,LRCH4,,LTF,,VCAN
,SOX21,,,,,GPSM3,,NGP,,VIPR2
,APPL2,,,,,CD68,,S100A8,,Vmn2r57
,SLC12A4,,,,,ZFHX3,,S100A9,,VPS37B
,IGFBP5,,,,,RP2,,SNX20,,WIPF1
,ABCB9,,,,,REEP4,,THEMIS2,,RTL4
,SLC14A1,,,,,ADGRE1,,,,ZEB1
,EGFR,,,,,MIR24-2,,,,ZNF423
,SLC15A2,,,,,SLC24A1,,,,ZNF43
,ZIC5,,,,,LYN,,,,ZNF521
,ACOT11,,,,,NAGPA,,,,
,AASS,,,,,FYB1,,,,
,NAPRT,,,,,ARHGAP45,,,,
,PRELP,,,,,PLEKHO1,,,,
,TP63,,,,,HERPUD1,,,,
,DDHD1,,,,,CTSS,,,,
,PCSK6,,,,,CTSZ,,,,
,SLC22A4,,,,,IL6R,,,,
,ENTPD2,,,,,HCLS1,,,,
,OR10AD1,,,,,EPB41L2,,,,
,LPP,,,,,IL7R,,,,
,NR2E1,,,,,CYTH4,,,,
,GRAMD2B,,,,,CKLF,,,,
,CD44,,,,,SPATA13,,,,
,KCTD14,,,,,ADAP2,,,,
,FAM181A,,,,,PROS1,,,,
,GLIPR2,,,,,SMAD7,,,,
,RORB,,,,,PSD4,,,,
,SMPD2,,,,,NCKAP1L,,,,
,CTH,,,,,CYBA,,,,
,CYP4F12,,,,,CCRL2,,,,
,PRKD1,,,,,CD300C,,,,
,PAX6,,,,,CD68,,,,
,LONRF3,,,,,CFH,,,,
,ATP1A2,,,,,CKLF,,,,
,SLC41A1,,,,,CLIC1,,,,
,SLC4A4,,,,,CTSZ,,,,
,EMX2,,,,,CYBA,,,,
,ATP1B2,,,,,DAPP1,,,,
,ARHGEF26,,,,,DNAJB1,,,,
,FAM20A,,,,,DUSP6,,,,
,FZD2,,,,,EHD4,,,,
,FGD6,,,,,ENTPD1,,,,
,RPE65,,,,,F11R,,,,
,GRAMD1C,,,,,FAM91A1,,,,
,SLC7A10,,,,,GGTA1P,,,,
,STAG3,,,,,GOLM1,,,,
,LIX1,,,,,GRK2,,,,
,SOAT1,,,,,GUSB,,,,
,FAM198A,,,,,HLA-A,,,,
,PRODH,,,,,HLA-DOA,,,,
,UTP14C,,,,,HERPUD1,,,,
,GRHL1,,,,,IER2,,,,
,GRIN2C,,,,,IL13RA1,,,,
,GSTM1,,,,,IL21R,,,,
,HSD11B1,,,,,IL6R,,,,
,IGDCC4,,,,,KLF6,,,,
,IGFBP5,,,,,LGALS9,,,,
,LCAT,,,,,LY96,,,,
,LHX2,,,,,LYN,,,,
,LPP,,,,,MSN,,,,
,MFGE8,,,,,NAIP,,,,
,MMP14,,,,,NRROS,,,,
,Nat8f4,,,,,PDGFB,,,,
,NDRG2,,,,,PLA2G15,,,,
,NTRK2,,,,,PLA2G4A,,,,
,NTSR2,,,,,PPP1R15A,,,,
,OPLAH,,,,,PROS1,,,,
,PHKA1,,,,,PTGS1,,,,
,PLA2G7,,,,,RBM39,,,,
,PPARA,,,,,RGS19,,,,
,PPP1R3C,,,,,RIN2,,,,
,PRELP,,,,,RNASE4,,,,
,PRKD1,,,,,SERINC3,,,,
,PRODH,,,,,SIPA1,,,,
,PTCH1,,,,,SKAP2,,,,
,PYGB,,,,,SNORD22,,,,
,RFTN2,,,,,TAPBP,,,,
,RORB,,,,,TCN2,,,,
,S1PR1,,,,,TFPI,,,,
,SDC4,,,,,TOR4A,,,,
,SERHL,,,,,TRPV2,,,,
,SLC15A2,,,,,VSIR,,,,
,SLC1A2,,,,,VWA5A,,,,
,SLC1A3,,,,,ZFHX3,,,,
,SLC1A4,,,,,Chil3,,,,
,SLC38A3,,,,,D17H6S56E-5,,,,
,SLC41A1,,,,,PALD1,,,,
,SLC4A4,,,,,TGFB1,,,,
,SLCO1C1,,,,,,,,,
,SMPD2,,,,,,,,,
,SMPDL3A,,,,,,,,,
,SORCS2,,,,,,,,,
,SOX9,,,,,,,,,
,SPAG1,,,,,,,,,
,TFCP2L1,,,,,,,,,
,TLCD1,,,,,,,,,
,TMEM47,,,,,,,,,
,TRIL,,,,,,,,,
,TRPS1,,,,,,,,,
,VAV3,,,,,,,,,
,VCAM1,,,,,,,,,
